ID	title	author	date	folio	notes	work_code	work_title	osa
377	Discours de l'empereur Julien	"Argens, Jean-Baptiste de Boyer [marquis d']; Voltaire, François Marie Arouet; Julian"		14v	"Source data entitled: 'Discours de l'empereur Julien contre les chretiens'. Source date ambiguous (1749-). First published in Berlin : Chre?tien Fre?de?ric Voss, 1768."	spbk0000575	Discours de l'empereur Julien	1
378	Dieu et les hommes	"Voltaire, François Marie Arouet;"		14v	"Source data entitled: 'Dieu et les hommes du docteur Oberu'. Source date ambiguous (1749-). Published in Berlin, [i.e. Geneva] : Chez Christian de Vos., 1769."	spbk0000569	Dieu et les hommes	1
379	Recherches philosophiques sur les Américains	"Pauw, Cornelius [de]"		14v	"Source date ambiguous (1749-). Source data entitled: 'Dissertation philosophique sur les americains'. Published in Berlin, 1770. Other contributor: Antoine Joseph Pernety. https://books.google.com.au/books?id=hKtbAAAAQAAJ"	spbk0002803	Recherches philosophiques sur les Américains	1
380	Histoire de Dom B… portier des Chartreux	"Latouche, Jean-Charles Gervaise [de];"		14v	"Source date ambiguous (1749-). First published in Rome [i.e. London] : Chez Philotanus, [1740?]. OCLC: 931404253."	spbk0004439	Histoire de Dom B… portier des Chartreux	1
381	Dictionnaire philosophique	"Voltaire, François Marie Arouet;"		14v	"Source date ambiguous (1749-). Source data entitled: 'Dictionnaire philosophique de Voltaire'. First published in Lyon, 1756."	spbk0003312	Dictionnaire philosophique	1
382	Discours sur la liberté de penser	"Collins, Anthony; Scheurléer, Henri; Rousset de Missy, Jean;"		14v	"Source data entitled: 'Discours sur la liberté de penser par Mr Collins'. Source date ambiguous (1749-). First published in  London, 1714."	spbk0000592	Discours sur la liberté de penser	1
385	Dialogue des Animaux ou le Bonheur	No Author Identifable		14v	"Date ambiguous (1749-). No author identified, possible original author: Giambattista Gelli. Published in 1762-3, unknown publication place."	zspbk0011068	Dialogue des Animaux ou le Bonheur	1
386	Recherches sur l'origine du Despotisme oriental	"Boulanger, Nicolas-Antoine; Holbach, Paul Henri Dietrich [d'];"		14v	Date ambiguous (1749-). Source data entitled: 'Despotisme (le) oriental'. Edition not identified: several editions between 1762 and 1778.	spbk0002037	Recherches sur l'origine du despotisme oriental	0.978723404
387	dictionnaire philosophique	"Voltaire, François Marie Arouet;"		14v	Source date ambiguous (1749-). Source data entitled: 'Dictionnaire philosophique portatif'. Probable edition dates for source data: 1756; 1765.	spbk0003312	Dictionnaire philosophique	0.961538462
402	Dieu. Reponse de M. Voltaire au systeme de la nature	"Voltaire, Francois Marie Arouet"		15r	"Source date ambiguous (1749-). Source data entitled: 'Dieu Reponse de M. De Voltaire au sisteme de la nature'. Published in Gene?ve: Cramer, 1770."	spbk0002623	Dieu. Réponse de M. de Voltaire au systême de la nature	0.84
414	"Droit (le) naturel, d'un père à son fils"	"Pillichody, Jean Georges;"		15r	"Source date ambiguous (1749-). Published in Yverdon: F.-B. de Felice, 1769."	spbk0000625	"Droit (le) naturel, d'un père à son fils"	1
420	Entretiens des voyageurs sur la Mer	"Flournois, Gedeon"		16r	"Date ambiguous (1700-1701). First published in Cologne, P. Marteau, 1683. At least two subsequent editions in 1704 and 1715."	zspbk0011211	Entretiens des voyageurs sur la Mer	1
422	Elements (les) ou premieres instructions de la jeunesse	"Blégny, Etienne de"		16r	"Date ambiguous (1700-1701). Source data entitled: 'Elements (les) ou premieres instructions de la jeunesse par M. de Blegny'. First published in 1602. Several publications thereafter: notably in Paris: chez Guillaume Cavelier, 1702. https://books.google.com.au/books?id=JEKWngEACAAJ"	zspbk0014278	Elemens (les) ou premieres instructions de la jeunesse	0.96
433	Esprit (l') de la procedure			16v	Date ambiguous (1703-1707). Source data entitled: 'Esprit (l') de la procedure par M. Moroy'. Work and author not identified.	spbk0000766	Esprit (l') de la fronde	0.814814815
439	"Entretiens sur la pluralité des mondes, par M. de Fontenelle"	"Fontenelle, Bernard Le Bovier de;"	1710-00-00	16v	"Published in London, Paul"	spbk0004287	"Entretiens sur la pluralité des mondes, par M. de Fontenelle"	1
455	"Essais sur le genie et le caractere des nations, divises en six livres"			17r	"Date ambiguous (1722-1728). Source data entitled: 'Essais sur le genie et le caractere des nations '. Published in Bruxelles, publisher unknown, 1743."	zspbk0013448	Essais sur le genie et le caractère des nations	0.92
457	Essai sur les philosophes			17r	Date ambiguous (1722-1728). Source data entitled: 'essay sur les philosophes'. Work and author not identified.	zspbk0011063	Essais sur les philosophes	0.961538462
511	Trois (les) épîtres	"Voltaire, François Marie Arouet;"		18r	"Date ambiguous (1750-). Published in Geneva: Cramer, 1769."	spbk0002397	Trois (les) épîtres	1
511	Trois (les) épîtres	"Voltaire, François Marie Arouet;"		18r	"Date ambiguous (1750-). Published in Geneva: Cramer, 1769."	spbk0004204	Trois (les) chapitres	0.80952381
513	Esprit (l') de Voltaire dans ses écrits	"Nonnotte, Claude-François;"		18r	"Date ambiguous (1750-). Source data entitled: 'Esprit de Voltaire repandu dans ses ecrits'. Published in Lyon: V. Reguilliat, 1779."	spbk0000765	Esprit (l') de Voltaire dans ses écrits	1
517	"Epitres, satires, contes, odes, et pieces fugitives"	"Voltaire, François Marie Arouet;"		18r	"Date ambiguous (1750-). Source data entitled: 'Epitres, satires, contes du poete philosophe'. Published in Geneva, 1771."	spbk0000735	"Epitres, satires, contes, odes, et pieces fugitives"	1
520	Essai sur les opérations de l'entendement humain et sur les maladies qui les dérangent	"Dufour, Jean-Francois"		18r	"Date ambiguous (1750-). Source data entitled: 'Essay sur les operations de l'entendement humain par M. Dufour'. Published in  Paris : Chez Merlin, 1770."	zspbk0013067	Essai sur les opérations de l'entendement humain et sur les maladies qui les dérangent	1
523	"Essai critique sur l'histoire des ordres Royaux, hospitaliers et militaires de Saint Lazare de Jerusalem et de Notre Dame du Mont-Carmel"	"Desplaces, Laurent-Benoit"		18v	"Date ambiguous (1750-). Source data entitled: 'Essay critique sur l'histoire des ordres de Saint Lazare et de Notre Dame du mont Carmel par M. Desplaces'. Published in Bruxelles and Liege: Tutot, 1775. OCLC Number: 252644884."	zspbk0010652	"Essai critique sur l'histoire des Ordres roiaux, hospitaliers et militaires de St. Lazare, de Jerusalem et du Mont Carmel"	0.94
528	Examen critique des apologistes de la religion chrétienne	"Burigny, Jean Lévesque [de];"		18v	"Date ambiguous (1750-). Source data entitled: 'Examen critique des apologistes de la religion chrétienne par Frenet'. At least three editions, place of publication unknown, 1766, 1767 and 1775. Frenet stands for Leveque de Burigny.  Source mentioned in 'Dictionnaire des ouvrages anonymes et pseudonymes composés, traduits ou publiés en français et en latin, avec les noms des auteurs, traducteurs et éditeurs; accompagné de notes historiques et critiques par M. Barbier', tome 1, Paris: Barrois l'aine, 1822, p. 463."	spbk0000871	Examen critique des apologistes de la religion chrétienne	1
530	"Emile, ou de l'éducation"	"Rousseau, Jean Jacques;"		18v	"First publication in La Haye: chez Jean Néaulme, 1762."	spbk0002747	"Emile, ou de l'éducation"	1
533	Epître (l') aux Romains	"Voltaire, François Marie Arouet;"		18v	"Date ambiguous (1750-). Source data entitled: 'Epitre aux romains par le comte de Passeran'. Author's pseudonym for Voltaire. Published in Geneva, 1768."	spbk0000738	Epître (l') aux Romains	1
534	Esprit (de l')	"Helvétius, Claude-Adrien;"		18v	"Date ambiguous (1750-). Source data entitled: 'Esprit (de l') par M. Helvetius. First published in Paris: Durand, 1758."	spbk0000753	Esprit (de l')	1
535	Evangile (l') de la raison	"Voltaire, François Marie Arouet;"		18v	"Date ambiguous (1750-). Published in London: aux depens de la compagnie de Jesus, 1764."	spbk0000867	Evangile (l') de la raison	1
535	Evangile (l') de la raison	"Voltaire, François Marie Arouet;"		18v	"Date ambiguous (1750-). Published in London: aux depens de la compagnie de Jesus, 1764."	spbk0001333	Langage (le) de la raison	0.807692308
