id_1,str_1,id_2,str_2,osa,cos,sample_edition_1,sample_edition_2
zspbk0011937,Malheurs (Les) de l'amour,spbk0003445,Malheurs (les) de l'amour,0.96,0.9804088442468002,"Malheurs (Les) de l'amour, by NA. (, )","Malheurs (les) de l'amour. Drame , by Sinner de Ballaigues, Jean-Rudolphe. (Berne, 1775)"
zspbk0013810,Malheurs (les) de l'amour,zspbk0011937,Malheurs (Les) de l'amour,0.96,0.9804088442468002,"Malheurs (les) de l'amour, by NA. (, )","Malheurs (Les) de l'amour, by NA. (, )"
zspbk0013327,Cours abregé d'ostéologie,spbk0000451,Cours abrégé d'ostéologie,0.96,0.9801960588196068,"Cours abregé d'ostéologie, by Le Cat, Claude-Nicolas. (, )","Cours abrégé d'ostéologie, by Le Cat, Claude-Nicolas. (n.pl., 1776)"
zspbk0012682,Dictionnaire de physique,zspbk0011630,Dictionnaire de Physique,0.9583333333333334,0.9782608695652174,"Dictionnaire de physique, by Paulian, Aimé-Henri. (Avignon, 1761)","Dictionnaire de Physique, by NA. (, )"
zspbk0014688,[Causes de la Digestion],zspbk0014687,[Causes de la Gigestion],0.9583333333333334,0.9782608695652174,"[Causes de la Digestion], by NA. (, )","[Causes de la Gigestion], by NA. (, )"
zspbk0013201,Dictionnaire des Moeurs,zspbk0011915,Dictionnaire des moeurs,0.9565217391304348,0.9777777777777776,"Dictionnaire des Moeurs, by NA. (, )","Dictionnaire des moeurs, by Bastide, Jean François [de]. (La Haye; Monory, 1773)"
zspbk0013145,"Silvain: comédie en un acte, mêlée d'ariettes",spbk00014802,"Sylvain, comédie en un acte, mêlée d'ariettes",0.9555555555555556,0.986110436565524,"Silvain: comédie en un acte, mêlée d'ariettes, by Marmontel, Jean-François. (, )","Sylvain, comédie en un acte, mêlée d'ariettes, by Marmontel, Jean-François. (NA, NA)"
zspbk0013848,Traité des hypotheques,zspbk0013846,Traité de hypotheques,0.9545454545454546,0.9864400504156211,"Traité des hypotheques, by NA. (, )","Traité de hypotheques, by NA. (, )"
zspbk0013848,Traité des hypotheques,zspbk0013847,Traité de hypotheques,0.9545454545454546,0.9864400504156211,"Traité des hypotheques, by NA. (, )","Traité de hypotheques, by NA. (, )"
zspbk0013943,Systeme de philosophie,zspbk0012235,Systeme de Philosophie,0.9545454545454546,0.9780192938436515,"Systeme de philosophie, by NA. (, )","Systeme de Philosophie, by Regis, Pierre-Sylvain. (, )"
zspbk0014636,Institutiones medica,zspbk0014376,Institutiones medicae,0.9523809523809523,0.989541391990587,"Institutiones medica, by NA. (, )","Institutiones medicae, by Goelicke, Andreas Ottomar. (, )"
zspbk0013994,Histoire de Louis XII,spbk00014858,Histoire de Louis XI,0.9523809523809523,0.9880544542793731,"Histoire de Louis XII, by NA. (, )","Histoire de Louis XI, by NA. (n.pl., NA)"
zspbk0011876,Homme (l') de Lettres,spbk0001206,Homme (l') de lettres,0.9523809523809523,0.9775252199076786,"Homme (l') de Lettres, by NA. (, )","Homme (l') de lettres, par le P. Daniel Bartoli, ouvrage traduit de l'italien, augmenté de notes historiques et critiques, par le P. Delivoy, by Bartoli, Daniello. (Paris, 1769)"
zspbk0012460,Homme (l') de Lettres,spbk0001206,Homme (l') de lettres,0.9523809523809523,0.9775252199076786,"Homme (l') de Lettres, by Gratian, B.. (, )","Homme (l') de lettres, par le P. Daniel Bartoli, ouvrage traduit de l'italien, augmenté de notes historiques et critiques, par le P. Delivoy, by Bartoli, Daniello. (Paris, 1769)"
zspbk0014376,Institutiones medicae,zspbk0014168,Institutiones Medicae,0.9523809523809523,0.9767441860465118,"Institutiones medicae, by Goelicke, Andreas Ottomar. (, )","Institutiones Medicae, by Boerhaave, Herman. (, )"
zspbk0011362,Siege (le) de Calais,spbk0002228,Siège (le) de Calais,0.95,0.978231976089037,"Siege (le) de Calais, by NA. (, )","Siège (le) de Calais: tragédie, dédiée au roi, by Belloy, Pierre Laurent [de]. (n.pl., NA)"
zspbk0011763,Memoires de Guettard,zspbk0011684,Memoires de Guittard,0.95,0.9750356118852502,"Memoires de Guettard, by Guettard, Jean Etienne. (, )","Memoires de Guettard, by Guettard, Jean-Etienne. (, )"
zspbk0013888,Histoire du paraguay,zspbk0012366,Histoire du Paraguay,0.95,0.9705882352941176,"Histoire du paraguay, by NA. (, )","Histoire du Paraguay, by Charlevoix, Pierre-François-Xavier de. (Paris, 1756)"
zspbk0011888,[Histoire d'Irlande,spbk0001187,Histoire d'Irlande,0.9473684210526316,0.9813067629253164,"[Histoire d'Irlande, by NA. (, )","Histoire d'Irlande, depuis l'invasion d'Henri II, avec un Discours préliminaire sur l'ancien état de ce royaume, par Thomas Leland... traduite de l'anglois, by Leland, Thomas. (Hollande, 1779)"
zspbk0013935,Théatre de campagne,spbk0003728,Théâtre de campagne,0.9473684210526316,0.9697622757528539,"Théatre de campagne, by NA. (, )","Théâtre de campagne, par l'auteur des Proverbes dramatiques, by Carmontelle, Louis Carrogis [de]. (n.pl., NA)"
zspbk0013375,Traité de Venerie,zspbk0011656,Traité de Vennerie,0.9444444444444444,0.9871352947927473,"Traité de Venerie, by NA. (, )","Traité de Vennerie, by NA. (, )"
zspbk0012670,Traité du Douaire,zspbk0010743,Traité du douaire,0.9411764705882353,0.9649012813540154,"Traité du Douaire, by Renusson, Philippe de. (, )","Traité du Douaire par l'auteur du traité des obligations, by Pothier, Robert Joseph. (Orléans; Paris, 1770)"
zspbk0014323,Lettres sur divers sujets de morale et de piété,zspbk0011417,Lettres sur divers sujets de morale et de piété pa,0.94,0.9948003650144179,"Lettres sur divers sujets de morale et de piété, by Duguet, Jacques Joseph. (, )","Lettres sur divers sujets de morale et de piété, by Duguet, Jacques Joseph. (, )"
zspbk0013782,"Dictionnaire ge?ographique, historique et politiqu",spbk0003633,"Dictionnaire géographique, historique et politique",0.94,0.9947368421052631,"Dictionnaire ge?ographique, historique et politique des Gaules et de la France, by Expilly, Jean-Joseph. (, )","Dictionnaire historique, politique et géographique de la Suisse, contenant une description de ce qu'il y a de plus remarquable dans les Cantons Suisses & dans les Etats de leurs Alliés , by NA. (Geneva; Paris, 1788)"
spbk0003199,"Eloge de Nicolas de Catinat, maréchal de France, d",spbk0003193,"Eloge de Nicolas de Catinat, maréchal de France",0.94,0.9940566898295139,"Eloge de Nicolas de Catinat, maréchal de France, discours... par M. l'abbé d'Espagnac, by Espagnac, Marc-René Sahuguet [d']. (Paris, 1775)","Eloge de Nicolas de Catinat, maréchal de France, discours qui a remporté le prix de l'Académie françoise en 1775, by La Harpe, Jean François [de]. (n.pl., 1775)"
