id_1	title_1	category_1	notes_1	author_1	imprint_1	id_2	title_2	category_2	notes_2	author_2	imprint_2	osa	identical?
187	"Les Saisons, poeme"	F176	Not a banned book.		in-12°. A translation from Thompson's Seasons; or Jean-François Saint-Lambert's s work. See F118. No publication details.	125	"Les Saisons, poeme"	F119	Not a banned book.		Amsterdam.  in-12°. Authors may be James Thomson (trans. by Bontemps) or Jean Francois marquis de Saint Lambert.	1	
187	"Les Saisons, poeme"	F176	Not a banned book.		in-12°. A translation from Thompson's Seasons; or Jean-François Saint-Lambert's s work. See F118. No publication details.	126	"Les Saisons, poeme"	F118	Not a banned book.		Amsterdam.  in-12°. Authors may be James Thomson (trans. by Bontemps) or Jean Francois marquis de Saint Lambert.	1	
160	"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot"	F151		"Diderot, Denis"	Publication place not provided in source data. Published in London [Amsterdam?] according to Worldcat. in-8°.	159	"Collection [complette] des oeuvres philosophiques, litteraires et dramatiques de M. Diderot"	F151		"Diderot, Denis"	in-8°.	1	
163	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F155		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Counterfeit and incomplete edition.	162	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F153		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Source data states that this is the original edition.	1	
164	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F154		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Counterfeit and incomplete edition.	162	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F153		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Source data states that this is the original edition.	1	
164	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F154		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Counterfeit and incomplete edition.	163	"La Politique naturelle, ou Discours sur les vrais principes du gouvernement par un ancien magistrat"	F155		"Holbach, Paul Henri Thiry, [baron d']"	London. in-8°. Counterfeit and incomplete edition.	1	
173	De la nature	F162		"Robinet, J. B."	Amsterdam. in-8°.	172	De la nature	F162		"Robinet, J. B."	Amsterdam. in-8°.	1	
281	Traite du mariage et de sa legislation	F270		"Pilati di Tassulo, Carlo Antonio"	La Haye. in-8°.	175	Traite du mariage et de sa legislation	F164		"Pilati di Tassulo, Carlo Antonio"	La Haye. in-8°.	1	
199	Anecdotes sur madame la comtesse Du Barry	F188		Pidansat de Mairobert	in-12°.	198	Anecdotes sur madame la comtesse Du Barry	F187		Pidansat de Mairobert	in-8°.	1	
338	"Le Cosmopolite, ou le Citoyen du monde"	F324		Fougeret de Monbron	Londres. in-8°.	215	"Le Cosmopolite, ou le Citoyen du monde"	F204	This is an attack against the marquis d'Argens.	"Fougeret de Montbron, Charles Louis"	London	1	
